Book_Title,Price,Star_Rating,Availability
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,In stock
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,In stock
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,In stock
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1,In stock
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1,In stock
The Origin of Species,10.01,4,In stock
The Grand Design,13.76,3,In stock
Peak: Secrets from the New Science of Expertise,16.28,2,In stock
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,In stock
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,5,In stock
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2,In stock
Seven Brief Lessons on Physics,30.6,4,In stock
The Selfish Gene,29.45,1,In stock
