Review_ID,Review_Text,Sentiment
1,I absolutely love this product! It works flawlessly and looks great.,Positive
2,Terrible experience. The item broke after just two days of use.,Negative
3,"It's okay. Not the best, but it gets the job done for the price.",Negative
4,Highly recommend! Fast shipping and excellent customer service.,Positive
5,I am very disappointed. The color doesn't match the picture at all.,Negative
6,Five stars! This is exactly what I was looking for.,Neutral
7,Meh. It's just an average product. Nothing special.,Negative
8,Waste of money. Do not buy this!,Negative
9,"Exceeded my expectations, the build quality is premium.",Neutral
10,It arrived on time.,Neutral
